"Unit";"Level";"TERYT";"Constituency";"List";"Committee";"Signature";"Type";"Position";"Family name";"Names";"Citizenship";"Sex";"Age";"Teryt of resident's place";"Commune of resident's place";"Resident's place";"Endorsement";"Statement";"Elected";"Votes quantity";"Votes percent in constituency"
"podkarpackie";"sejmik";"180000";"1";"1";"KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ";"ZPOW-7500-8/10";"partia";"2";"Bonusiak";"Włodzimierz Kazimierz";"PL";"M";"68";"186301";"podkarpackie";"Rzeszów";;;"N";"1932";"1,09"
"podkarpackie";"sejmik";"180000";"1";"1";"KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ";"ZPOW-7500-8/10";"partia";"12";"Harchut";"Lucyna Anna";"PL";"K";"44";"181001";"podkarpackie";"Łańcut";;;"N";"274";"0,15"
"podkarpackie";"sejmik";"180000";"1";"1";"KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ";"ZPOW-7500-8/10";"partia";"4";"Herba";"Krystian Tomasz";"PL";"M";"29";"186301";"podkarpackie";"Rzeszów";;;"N";"1902";"1,07"
"podkarpackie";"sejmik";"180000";"1";"1";"KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ";"ZPOW-7500-8/10";"partia";"8";"Kolasiński";"Grzegorz Roman";"PL";"M";"28";"186301";"podkarpackie";"Rzeszów";;;"N";"696";"0,39"
"podkarpackie";"sejmik";"180000";"1";"1";"KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ";"ZPOW-7500-8/10";"partia";"1";"Kowalska";"Anna Helena";"PL";"K";"62";"181601";"podkarpackie";"Dynów";;;"T";"8270";"4,66"
"podkarpackie";"sejmik";"180000";"1";"1";"KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ";"ZPOW-7500-8/10";"partia";"7";"Peszko";"Arkadiusz Paweł";"PL";"M";"28";"186301";"podkarpackie";"Rzeszów";;;"N";"737";"0,42"
"podkarpackie";"sejmik";"180000";"1";"1";"KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ";"ZPOW-7500-8/10";"partia";"10";"Plizga";"Marek Tadeusz";"PL";"M";"51";"186301";"podkarpackie";"Rzeszów";;;"N";"884";"0,50"
"podkarpackie";"sejmik";"180000";"1";"1";"KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ";"ZPOW-7500-8/10";"partia";"5";"Płaza";"Czesław Stanisław";"PL";"M";"68";"180801";"podkarpackie";"Leżajsk";;;"N";"439";"0,25"
"podkarpackie";"sejmik";"180000";"1";"1";"KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ";"ZPOW-7500-8/10";"partia";"11";"Pruchniewska-Siuzdak";"Beata Ewa";"PL";"K";"46";"180805";"podkarpackie";"Nowa Sarzyna";;;"N";"322";"0,18"
"podkarpackie";"sejmik";"180000";"1";"1";"KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ";"ZPOW-7500-8/10";"partia";"13";"Przyboś";"Józef";"PL";"M";"63";"181607";"podkarpackie";"Hyżne";;;"N";"358";"0,20"
"podkarpackie";"sejmik";"180000";"1";"1";"KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ";"ZPOW-7500-8/10";"partia";"3";"Rybka";"Jerzy";"PL";"M";"58";"181606";"podkarpackie";"Rogoźnica";;;"N";"1949";"1,10"
"podkarpackie";"sejmik";"180000";"1";"1";"KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ";"ZPOW-7500-8/10";"partia";"9";"Szumski";"Jerzy Józef";"PL";"M";"65";"186301";"podkarpackie";"Rzeszów";;;"N";"414";"0,23"
